iter	Passed	Remaining
0	194	193849
1	304	151828
2	361	120160
3	414	103134
4	470	93717
5	520	86167
6	578	82025
7	635	78750
8	693	76334
9	751	74373
10	821	73839
11	874	72030
12	935	71024
13	997	70265
14	1034	67943
15	1092	67209
16	1152	66644
17	1208	65903
18	1266	65373
19	1320	64717
20	1383	64497
21	1441	64082
22	1499	63681
23	1557	63336
24	1616	63050
25	1676	62791
26	1737	62597
27	1794	62293
28	1856	62148
29	1927	62315
30	1979	61875
31	2036	61610
32	2090	61253
33	2146	60976
34	2202	60736
35	2238	59931
36	2306	60041
37	2366	59897
38	2425	59761
39	2486	59672
40	2543	59501
41	2605	59439
42	2668	59390
43	2723	59169
44	2783	59067
45	2840	58908
46	2905	58909
47	2963	58768
48	3025	58724
49	3085	58616
50	3144	58504
51	3200	58354
52	3259	58235
53	3320	58164
54	3360	57744
55	3417	57609
56	3471	57436
57	3529	57319
58	3584	57167
59	3649	57182
60	3703	57013
61	3759	56878
62	3812	56700
63	3863	56507
64	3919	56380
65	3976	56270
66	4038	56233
67	4099	56188
68	4155	56063
69	4214	55991
70	4270	55873
71	4327	55777
72	4384	55673
73	4442	55589
74	4463	55050
75	4485	54532
76	4540	54425
77	4565	53967
78	4588	53495
79	4646	53431
80	4716	53517
81	4770	53408
82	4823	53291
83	4852	52913
84	4914	52898
85	4977	52899
86	5038	52870
87	5100	52858
88	5162	52842
89	5224	52827
90	5283	52779
91	5345	52753
92	5407	52734
93	5440	52440
94	5499	52392
95	5560	52359
96	5622	52345
97	5671	52203
98	5736	52206
99	5795	52162
100	5855	52116
101	5916	52092
102	5976	52045
103	6036	52008
104	6095	51956
105	6156	51922
106	6218	51899
107	6277	51843
108	6350	51912
109	6410	51863
110	6470	51824
111	6529	51772
112	6597	51787
113	6650	51683
114	6711	51647
115	6780	51669
116	6841	51634
117	6897	51557
118	6961	51535
119	7026	51527
120	7084	51468
121	7149	51455
122	7206	51380
123	7266	51334
124	7301	51111
125	7325	50811
126	7387	50781
127	7446	50726
128	7503	50663
129	7565	50633
130	7624	50577
131	7690	50571
132	7752	50537
133	7822	50556
134	7856	50338
135	7916	50293
136	7973	50228
137	8042	50233
138	8097	50157
139	8165	50161
140	8226	50119
141	8259	49904
142	8312	49815
143	8366	49734
144	8416	49627
145	8475	49576
146	8498	49317
147	8561	49283
148	8626	49270
149	8700	49304
150	8764	49278
151	8847	49360
152	8908	49314
153	8959	49221
154	9021	49182
155	9088	49170
156	9154	49152
